,genres
290,"['comedy', 'drama', 'european']"
291,"['drama', 'sport']"
292,"['thriller', 'action']"
293,"['horror', 'european']"
294,"['comedy', 'crime']"
295,['drama']
296,"['western', 'drama']"
297,"['action', 'thriller', 'scifi']"
298,"['thriller', 'action', 'war', 'european']"
299,"['fantasy', 'romance', 'family']"
300,"['drama', 'european']"
301,"['drama', 'history', 'war', 'action']"
302,"['comedy', 'family', 'romance']"
303,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']"
304,"['thriller', 'action', 'drama', 'european']"
305,['thriller']
306,"['action', 'scifi', 'drama', 'fantasy', 'european']"
307,"['drama', 'war', 'thriller', 'horror']"
308,"['fantasy', 'comedy', 'family', 'romance', 'animation']"
309,"['comedy', 'drama', 'romance']"
310,"['fantasy', 'romance', 'animation', 'drama', 'family']"
311,"['horror', 'drama', 'fantasy', 'thriller', 'european']"
312,"['crime', 'drama', 'thriller', 'european']"
313,"['thriller', 'comedy']"
314,"['drama', 'action', 'crime', 'thriller']"
315,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']"
316,"['drama', 'comedy']"
317,"['thriller', 'fantasy', 'scifi', 'action', 'horror']"
318,"['thriller', 'drama', 'romance', 'european']"
319,"['thriller', 'drama']"
320,"['drama', 'fantasy', 'romance', 'documentation']"
321,"['thriller', 'scifi', 'action', 'european']"
322,['comedy']
323,"['thriller', 'drama', 'action', 'crime', 'european']"
324,"['romance', 'comedy', 'drama']"
325,"['drama', 'romance', 'fantasy', 'comedy']"
326,"['scifi', 'action', 'comedy', 'drama', 'animation']"
327,"['crime', 'action', 'drama', 'thriller']"
328,"['drama', 'thriller', 'crime']"
329,['comedy']
330,"['drama', 'crime', 'history', 'thriller']"
331,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']"
332,"['thriller', 'scifi', 'fantasy', 'war', 'action']"
333,"['comedy', 'family']"
334,"['thriller', 'drama', 'crime', 'horror']"
335,"['fantasy', 'comedy', 'family']"
336,"['documentation', 'comedy']"
337,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']"
338,"['thriller', 'horror', 'fantasy']"
339,"['scifi', 'thriller', 'action']"
340,"['comedy', 'fantasy', 'animation', 'family', 'music', 'romance']"
341,"['drama', 'fantasy', 'action', 'history']"
342,"['drama', 'sport', 'european']"
343,"['action', 'thriller', 'fantasy', 'horror', 'scifi']"
344,"['romance', 'comedy']"
345,['horror']
346,"['drama', 'comedy', 'romance']"
347,"['comedy', 'romance']"
348,"['horror', 'fantasy', 'scifi', 'action', 'thriller']"
349,"['romance', 'drama', 'history']"
350,"['horror', 'thriller']"
351,"['drama', 'comedy', 'european']"
352,"['horror', 'action']"
353,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']"
354,"['drama', 'romance', 'european']"
355,"['horror', 'thriller', 'crime', 'drama']"
356,"['drama', 'action', 'thriller']"
357,"['romance', 'comedy', 'family']"
358,['reality']
359,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi']"
360,"['comedy', 'horror']"
361,"['horror', 'crime']"
362,"['comedy', 'crime']"
363,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']"
364,"['drama', 'comedy']"
365,"['comedy', 'thriller', 'action', 'crime']"
366,"['scifi', 'thriller', 'drama']"
367,"['comedy', 'european']"
368,"['comedy', 'drama']"
369,"['drama', 'comedy']"
370,"['drama', 'scifi', 'fantasy', 'family']"
371,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']"
372,"['action', 'animation', 'comedy', 'family']"
373,"['comedy', 'crime', 'family', 'romance']"
374,"['animation', 'family']"
375,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']"
376,"['drama', 'family', 'sport', 'fantasy']"
377,"['fantasy', 'animation', 'comedy', 'family']"
378,"['comedy', 'crime']"
379,"['drama', 'thriller', 'war', 'action']"
380,"['comedy', 'drama', 'romance']"
381,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']"
382,"['horror', 'thriller', 'scifi', 'action', 'european']"
383,"['comedy', 'family']"
384,"['horror', 'thriller', 'documentation']"
385,['drama']
386,"['fantasy', 'thriller', 'action', 'drama', 'family']"
387,"['comedy', 'drama', 'romance']"
388,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']"
389,"['animation', 'romance', 'comedy', 'drama']"
390,"['comedy', 'romance']"
391,['western']
392,"['thriller', 'history', 'drama']"
393,"['thriller', 'drama', 'fantasy']"
394,"['animation', 'comedy', 'family', 'european']"
395,"['thriller', 'action', 'european']"
396,"['thriller', 'european']"
397,"['drama', 'romance', 'sport']"
398,"['comedy', 'war']"
399,"['comedy', 'horror', 'reality', 'scifi', 'thriller']"
400,"['romance', 'comedy', 'drama']"
401,"['fantasy', 'family', 'action', 'war', 'drama', 'thriller', 'animation']"
402,['comedy']
403,"['comedy', 'romance']"
404,"['animation', 'family', 'comedy', 'european']"
405,['comedy']
406,['comedy']
407,['drama']
408,"['comedy', 'drama', 'sport', 'romance']"
409,"['music', 'documentation']"
410,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']"
411,"['thriller', 'action', 'crime', 'drama', 'sport']"
412,"['drama', 'history', 'sport', 'action']"
413,"['comedy', 'family', 'action', 'animation']"
414,"['drama', 'family']"
415,"['comedy', 'documentation']"
416,"['action', 'drama']"
417,"['comedy', 'drama', 'animation', 'romance']"
418,"['crime', 'thriller', 'drama', 'action']"
419,['drama']
420,"['action', 'drama', 'scifi', 'war', 'animation']"
421,"['comedy', 'fantasy', 'animation', 'family']"
422,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']"
423,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']"
424,"['comedy', 'romance', 'drama']"
425,"['action', 'comedy', 'reality', 'romance', 'thriller']"
426,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']"
427,"['comedy', 'family', 'fantasy', 'animation', 'european']"
428,"['animation', 'comedy', 'family', 'european']"
429,"['action', 'crime', 'drama', 'thriller', 'european']"
430,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']"
431,"['comedy', 'documentation']"
432,"['drama', 'action', 'crime', 'thriller', 'animation', 'comedy', 'romance']"
433,"['comedy', 'documentation']"
434,"['action', 'comedy']"
435,"['fantasy', 'animation', 'action']"
436,"['comedy', 'family']"
437,"['action', 'scifi', 'family', 'western', 'animation']"
438,"['drama', 'romance']"
439,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']"
440,"['scifi', 'animation', 'comedy', 'drama']"
441,"['comedy', 'fantasy', 'romance', 'action', 'animation', 'family', 'european']"
442,"['drama', 'european', 'history']"
443,"['horror', 'thriller']"
444,"['drama', 'romance']"
445,"['fantasy', 'animation', 'action', 'family']"
446,['comedy']
447,"['comedy', 'crime']"
448,"['comedy', 'documentation']"
449,"['thriller', 'horror', 'documentation', 'war', 'european']"
450,"['romance', 'history', 'war', 'action', 'drama']"
451,"['comedy', 'drama', 'romance']"
452,['comedy']
453,"['comedy', 'drama', 'fantasy', 'romance', 'thriller', 'action']"
454,"['comedy', 'drama', 'romance']"
455,"['action', 'crime', 'drama', 'thriller', 'comedy']"
456,"['drama', 'comedy', 'european']"
457,"['crime', 'scifi', 'drama', 'thriller', 'action', 'comedy']"
458,"['comedy', 'action', 'animation', 'fantasy']"
459,"['drama', 'action']"
460,"['comedy', 'family', 'fantasy', 'music', 'animation', 'european']"
461,['drama']
462,"['animation', 'romance', 'comedy', 'family']"
463,"['drama', 'comedy', 'animation', 'action']"
464,['animation']
465,"['thriller', 'drama', 'crime', 'action']"
466,"['action', 'animation']"
467,"['comedy', 'crime', 'drama']"
468,"['documentation', 'history', 'war', 'european']"
469,"['documentation', 'music']"
470,"['comedy', 'drama']"
471,['comedy']
472,"['action', 'comedy', 'family', 'animation']"
473,"['drama', 'comedy', 'romance', 'war']"
474,['thriller']
475,['comedy']
476,"['fantasy', 'comedy', 'drama', 'animation', 'action']"
477,"['comedy', 'documentation']"
478,"['animation', 'comedy', 'family']"
479,"['drama', 'comedy']"
480,['comedy']
481,['war']
482,"['comedy', 'fantasy', 'animation', 'family', 'european']"
483,['drama']
484,"['drama', 'comedy', 'romance']"
485,"['comedy', 'crime']"
486,"['fantasy', 'animation', 'action']"
487,"['drama', 'comedy']"
